Завершил,Начал,Носитель,Формат,Тематика,Название,Автор,Оригинал,Оценка,Длина,Год,Рецензия,Ссылка,Язык,Теги
31.03.2013,30.03.2013,Цифр. книга,Книга,Растяжка,Растяжка расслаблением,Павел Циуцлин,,4,56 стр.,,"Короткая но очень полезная книга. Понятно расказывают про принципы и техники растяжки, а также дают пару десятков иллюстрированных и хорошо описаных упражнений ",,Русский,"Здоровье, Советы, Гибкость, Упражнения"
30.03.2013,30.03.2013,Цифр. книга,Книга,Растяжка,Анатомия упражнений на растяжку,"Арнольд Нельсон, Юко Кокконен",Stretching Anatomy,4,160 стр.,2008,"Хорошо иллюстрированное пособие с уклоном в анатомию, обьясняется что делать, как и как часто. Убор на постепенное силовое растягивание.",,Русский,"Здоровье, Советы, Гибкость, Упражнения, Анатомия"
29.03.2013,26.03.2013,Цифр. книга,Книга,Йога,Йога Дипика. Прояснение йоги,"http://ru.wikipedia.org/wiki/%D0%90%D0%B9%D0%B5%D0%BD%D0%B3%D0%B0%D1%80,_%D0%91%D0%B5%D0%BB%D0%BB%D1%83%D1%80_%D0%9A%D1%80%D0%B8%D1%88%D0%BD%D0%B0%D0%BC%D0%B0%D1%87%D0%B0%D1%80_%D0%A1%D1%83%D0%BD%D0%B4%D0%B0%D1%80%D0%B0%D1%80%D0%B0%D0%B4%D0%B6%D0%B0",Yoga Dipika: Light on Yoga,5,496 стр.,1966,"C этой книги нужно начинать изучать йогу. Даётся по нимание о йоге в целом, какая бывает, как построить курс занятий и достичь успеха. Также книга является большим справочником асан, по которому можно заниматься. Даётся много терминов которые сложно запомнить.",,Русский,"Здоровье, Йога, Медицина, Справочник"
26.03.2013,23.03.2013,Цифр. книга,Книга,Саморазвитие,Наедине с собой. Размышления,http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA_%D0%90%D0%B2%D1%80%D0%B5%D0%BB%D0%B8%D0%B9,,5,224 стр.,170,"Неспешно вникайте в мысли древнего философа и вы сможете всецело ощутить эпоху древнего Рима, которая к большому удивлению мало чем отличается от наших будней.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDWEJjU0lITVBkNzg,Русский,"Философия, Стоицизм, Размышления, Мудрость, Классическая литература, Древнегреческая литература, Античная литература"
22.03.2013,18.03.2013,Цифр. книга,Книга,Реклама,Реклама. Научный подход,http://en.wikipedia.org/wiki/Claude_C._Hopkins,Scientific Advertising,5,96 стр.,1923,"Не большая но очень полезная книга, в которой нету воды. Начинать изучение рекламы\копирайтинга нужно менно с неё.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDR0VLM19qd3RTa0U,Русский,"Реклама, Маркетинг, Копирайтинг"
22.03.2013,16.03.2013,Цифр. книга,Книга,Тайм-менеджмент,"Как работать по 4 часа в неделю и при этом не торчать в офисе ""от звонка до звонка"", жить где угодно и богатеть","http://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D1%80%D1%80%D0%B8%D1%81%D1%81,_%D0%A2%D0%B8%D0%BC%D0%BE%D1%82%D0%B8","The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",5,424 стр.,2012,"Книга в основном для тех, кто работает на ""Дядю"", заставляет по другому посмотреть на свою жизнь и подталкивает к действию - жить сейчас а не откладывать на потом.
Весь смысл сводится к минимизации временных затрат на добывание денег но при этом увеличив прибыльность, продуктивность и работая удалённо.
Практически после каждой главы даётся множество рекомендуемых сайтов\литературы.
Часть книги посвящена путешествиям, где автор передаёт свой опыт и делится хитростями\полезностями.


",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDZVQ3VkdQbXdCLTg,Русский,"Реклама, Бизнес, Маркетинг, Эффективность, Продуктивность, Самоорганизация, Личность, Мотиватор, Советы, Путешествие, Аутсорсинг, Работа, Автоматизация"
16.03.2013,16.03.2013,Цифр. книга,Книга,Веб-разработка,Вёрстка веб-страниц,http://habrahabr.ru/post/26910/F16,,5,378 стр.,2011,"Хорошая книга для начинающих, но полезная будет и более опытным верстальщикам, так как рассказаны важные подробности. Можно её использовать как справочник на ряду с htmlbook.ru.",,Русский,"HTML, CSS, Кроссбраузерность, Тестирование, Отладка, Основы, Начинающий, Adaprive, Responsive, Вёрстка, Кодирование"
15.03.2013,12.03.2013,Цифр. книга,Книга,Управление проектами,Джоэл о программировании,"http://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%BE%D0%BB%D1%8C%D1%81%D0%BA%D0%B8,_%D0%94%D0%B6%D0%BE%D1%8D%D0%BB",Joel on Software,5,352 стр.,2004,"Собрана разного рода информация, но в основном это исторические файты из развития IT индустрии тех врёмен и опыт автора, который работал над такими проектами как Excel и Word.
Много полезной информации для менеджеров проектов, о том как организовать работу команды программистов.
Еще книга переносит читателя в ту эпоху, легко читается и местами мотивирует.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDQmxqMndSc1laZnc,Русский,"Программирование, Мотиватор, Управление, Организация, ПО, Разработка, История, Найм, Microsoft, IBM, Кодирование"
12.03.2013,12.03.2013,Видео,Фильм,Политика,Пропаганда и псевдодемократия ...,,,4,95 мин.,2013,"Мнение КНДР о США, западных странах, их политике, капитализме и управлении обществом.
Фильм ценен тем, что создавался в другой стране, которая не попадает под влияние запада и таким образом может судить о происходящем со стороны.",,Русский,"Общество, Демократия, Зомбирование, Капитализм, Влияние, Обман, Разоблачение, КНДР"
12.03.2013,12.03.2013,Видео,Сериал,Наука,Во Вселенную со Стивеном Хокингом,"http://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3,_%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC",Into the Universe With Stephen Hawking,4,173 мин.,2010,,,Русский,"Космос, Вселенная, Инопланетяне, Теория, Время, Пространство, Астрология, Физика"
11.03.2013,??.03.2013,Цифр. книга,Книга,Бизнес,Как плавать среди акул и не быть съеденным заживо,http://en.wikipedia.org/wiki/Harvey_Mackay,Swim with the Sharks without Being Eaten Alive,5,256 стр.,2008,"Просто кладезь знаний начинай на самую различную тематику, начиная от воспитания детей и заканчивая хитростями ведения крупного бизнеса.

P.S. После прочтения я начал разбирать заметки, и был удёвлён таким количеством полезной информации.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDQmVkckFrU3RWNE0,Русский,"Реклама, Маркетинг, Психология, Эффективность, Саморазвитие, Продуктивность, Развитие, Самоорганизация, Мотивация, Истории успеха, Лидерство, Личность, Предпринимательство, Убеждение, Общение, Советы, Менеджмент, Управление, Презентация, Расказ, Торговля, Организация, Воспитание, Проекты"
??.??.2013,??.??.2013,Цифр. книга,Книга,Статистика,Черный лебедь. Под знаком непредсказуемости,Нассим Николас Талеб,The Black Swan: The Impact of the Highly Improbable,5,528 стр.,2008,"Местами тяжёлая для понимания, затянутая и скучная, но в целом очень интересная, потому что эта тематика касается многих сфер.
Одна из тех книг, которые на долго запоминаются и в значительной степени влияют на личность.",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDdzVCYmtrZDAzbHM,Русский,"Эффективность, Личность, Предпринимательство, Жизнь, Личность, Продуктивность, Саморазвитие"
15.09.2012,14.09.2012,В живую,Мероприятие,Веб-разработка,DrupalCamp Kyiv 2012,http://camp12.drupal.ua/,,4,2 дня,2012,"+ Очень насыщенная программа, интересные доклады, дружественная атмосфера.
- Попадаются херовые доклады, 4 потока - на всё важное не успеть, нету видео-записи и даже многих презентаций, мучительная регистрация, не всем места хватало.
",https://drive.google.com/?authuser=0#folders/0B10-UcWht3mDODFIdlRYNnYxVlE,Русский,"Веб-разработка, Программирование, PHP, Drupal"
